2,0.613636777,0.074532555
2,0.603592952,0.017769319
3,0.371022152,0.676039289
4,0.411335326,0.733909901
4,0.207773237,0.756140928
6,0.511861008,0.005296949
6,0.468447438,0.966472509
6,0.233403533,0.994327016
7,0.108785413,0.443862111
7,0.565857864,0.545125464
8,0.82270471,0.96437096
9,0.810677944,0.834623594
9,0.500466741,0.906692914
11,0.585412248,0.388554171
13,0.900836998,0.479988351
13,0.283839793,0.453564811
13,0.16900926,0.062863061
15,0.450769341,0.358800718
16,0.321991619,0.770190124
18,0.923997732,0.857170004
20,0.380985102,0.632574112
21,0.650374753,0.774230218
22,0.723917315,0.43463421
23,0.325236903,0.550565424
24,0.911621136,0.173378555
25,0.590469905,0.314909932
25,0.512381371,0.866614406
27,0.986574429,0.282573319
28,0.187105546,0.161424971
30,0.623857389,0.689673061
30,0.149761648,0.160784278
32,0.998544262,0.212103501
33,0.969145786,0.755654287
34,0.480104933,0.215323729
36,0.154360404,0.223349452
36,0.557057022,0.3834941
37,0.256574922,0.115609956
38,0.52542634,0.717526811
39,0.734640341,0.130419893
39,0.911371956,0.981212211
39,0.448907638,0.243431131
40,0.755716901,0.03214261
42,0.992265437,0.929943753
43,0.336195427,0.885510961
43,0.620706809,0.954022636
45,0.461237313,0.564056328
46,0.998661963,0.341837156
48,0.208216503,0.886475798
50,0.144998451,0.688745105
52,0.945586374,0.795299811
53,0.73626524,0.334909107
53,0.347731261,0.052325601
54,0.505582419,0.082135339
56,0.368696213,0.142009659
56,0.827229485,0.26767556
57,0.982305031,0.180688792
59,0.819105403,0.96942995
61,0.405928766,0.712306972
61,0.34129456,0.617846864
61,0.799122285,0.80786248
63,0.863483349,0.795804473
63,0.123712014,0.392981159
63,0.125879231,0.021027587
63,0.159373021,0.251126446
65,0.9771716,0.154303967
66,0.83386476,0.096680542
66,0.099838405,0.332524583
67,0.931070065,0.997796024
67,0.690499173,0.863219012
68,0.676935713,0.265552487
70,0.164620551,0.821019083
70,0.989307805,0.892839377
71,0.672270045,0.433433517
72,0.199208307,0.264079546
73,0.363516766,0.878457269
75,0.456243722,0.79104672
77,0.191793297,0.434833909
77,0.518479854,0.661528055
79,0.574007805,0.561756958
80,0.610998109,0.939737526
81,0.642785721,0.414385051
